pedido_id,cliente_id,produto_id,quantidade,valor,data_pedido
1001,1060,9930,3,1124.13,2026-03-12
1002,1303,9416,10,19583.4,2026-06-24
1003,1319,9115,4,8938.24,2026-09-13
1004,554,9315,8,1109.84,2026-10-09
1005,586,9952,1,1396.58,2026-01-09
1006,1213,9708,6,17574.06,2026-08-08
1007,1415,9090,5,18307.7,2026-05-07
1008,1138,9517,9,18606.78,2026-05-25
1009,915,9755,3,14456.34,2026-02-26
1010,521,9582,3,2805.12,2026-02-24
1011,638,9768,9,41138.19,2026-12-08
1012,1292,9166,6,2061.84,2026-05-29
1013,1290,9683,3,6432.15,2026-12-11
1014,1447,9577,5,19579.2,2026-04-14
1015,1147,9083,3,8555.28,2026-03-21
1016,632,9088,2,3142.04,2026-05-18
1017,1403,9954,4,6683.92,2026-07-21
1018,533,9262,6,7082.46,2026-12-04
1019,641,9288,1,2951.94,2026-07-06
1020,1060,9310,9,1435.41,2026-02-08
1021,558,9704,8,31505.44,2026-08-05
1022,1284,9924,9,20916.9,2026-06-05
1023,509,9499,2,3585.68,2026-01-14
1024,605,9728,4,15414.28,2026-09-24
1025,662,9329,5,4012.3,2026-05-14
1026,765,9778,1,3371.0,2026-09-16
1027,739,9218,6,14288.46,2026-12-16
1028,1353,9387,5,8538.65,2026-12-07
1029,676,9363,5,14484.55,2026-05-10
1030,1263,9367,6,9158.7,2026-10-22
1031,582,9601,4,18549.24,2026-06-21
1032,1444,9214,10,14609.4,2026-09-18
1033,610,9973,8,33583.68,2026-08-14
1034,903,9152,5,23246.5,2026-05-20
1035,1283,9423,1,2697.36,2026-05-27
1036,1438,9537,10,26341.1,2026-09-18
1037,649,9746,9,44328.42,2026-08-03
1038,527,9622,2,3402.02,2026-12-28
1039,1089,9068,3,11703.99,2026-05-27
1040,870,9297,4,18079.04,2026-07-16
1041,1069,9151,7,9718.66,2026-09-15
1042,1439,9738,7,25692.45,2026-01-08
1043,765,9797,6,3973.26,2026-06-30
1044,1024,9061,1,1513.69,2026-09-05
1045,741,9603,3,4840.98,2026-02-06
1046,1145,9086,7,1068.69,2026-12-23
1047,1366,9264,7,12545.33,2026-03-24
1048,752,9876,10,30180.2,2026-05-11
1049,1059,9563,1,2313.76,2026-09-28
1050,992,9034,2,5287.44,2026-09-06
1051,734,9692,5,14648.95,2026-08-25
1052,1413,9345,2,1647.6,2026-06-01
1053,652,9333,6,5990.16,2026-01-01
1054,709,9389,10,38945.9,2026-06-27
1055,998,9999,4,3477.28,2026-01-14
1056,1296,9263,3,7259.31,2026-07-31
1057,1461,9220,5,22688.5,2026-03-03
1058,1325,9155,2,4433.62,2026-01-04
1059,800,9460,8,11364.16,2026-11-30
1060,581,9449,5,9650.85,2026-08-03
1061,1265,9479,5,9921.05,2026-07-27
1062,1451,9754,7,23982.07,2026-04-06
1063,1184,9872,10,47489.4,2026-05-06
1064,1470,9058,10,29170.8,2026-01-25
1065,1349,9107,5,17671.95,2026-03-18
1066,608,9437,9,19568.97,2026-01-13
1067,1360,9389,10,43554.7,2026-04-09
1068,506,9192,7,31217.41,2026-06-06
1069,784,9256,3,10359.87,2026-02-11
1070,882,9812,9,17481.96,2026-04-22
1071,1201,9999,7,15907.5,2026-11-15
1072,1393,9766,8,21948.64,2026-12-02
1073,636,9203,7,14452.06,2026-04-08
1074,806,9617,10,6193.1,2026-05-06
1075,878,9247,8,861.52,2026-09-24
1076,544,9335,7,28018.62,2026-05-13
1077,664,9557,9,40754.61,2026-10-21
1078,542,9600,7,34956.04,2026-06-30
1079,732,9666,2,7116.9,2026-09-08
1080,600,9636,3,1274.97,2026-03-17
1081,1270,9704,7,13661.55,2026-01-31
1082,1378,9588,5,12358.75,2026-11-29
1083,512,9696,6,612.48,2026-03-05
1084,1000,9558,5,12170.95,2026-01-09
1085,677,9195,3,14723.76,2026-02-16
1086,638,9713,7,23860.48,2026-06-07
1087,976,9767,9,898.92,2026-04-02
1088,512,9504,5,11445.45,2026-08-02
1089,1397,9396,8,26380.4,2026-07-04
1090,952,9408,6,20231.28,2026-11-06
1091,1378,9086,8,25386.56,2026-11-28
1092,540,9307,1,3227.25,2026-03-22
1093,1463,9469,7,34086.29,2026-01-14
1094,993,9146,4,5625.28,2026-01-05
1095,1118,9772,1,1011.01,2026-08-06
1096,511,9881,9,34036.38,2026-01-02
1097,975,9821,3,12300.15,2026-04-19
1098,714,9997,3,11644.77,2026-11-19
1099,953,9683,2,1703.08,2026-12-16
1100,800,9956,10,31506.8,2026-04-16
1101,1468,9161,7,17702.23,2026-11-30
1102,1022,9685,10,25910.2,2026-01-11
1103,710,9294,9,22701.6,2026-06-15
1104,789,9991,5,14726.2,2026-08-10
1105,712,9948,8,26138.4,2026-04-05
1106,966,9379,5,21121.15,2026-08-09
1107,1014,9572,4,3403.16,2026-06-07
1108,1445,9164,2,9300.96,2026-07-18
1109,1352,9990,6,3355.56,2026-09-06
1110,1200,9528,4,5550.32,2026-03-24
1111,773,9715,3,1795.65,2026-03-03
1112,1070,9543,4,17183.0,2026-06-01
1113,859,9696,3,12680.16,2026-07-05
1114,856,9314,1,4439.38,2026-08-20
1115,592,9126,1,60.43,2026-01-29
1116,676,9052,9,39702.42,2026-12-03
1117,601,9933,1,539.38,2026-02-17
1118,653,9724,6,5534.64,2026-07-02
1119,1023,9436,3,9505.77,2026-08-25
1120,675,9937,10,17411.7,2026-02-09
1121,885,9314,2,8869.28,2026-05-30
1122,556,9621,1,4303.47,2026-10-30
1123,1218,9434,4,14665.8,2026-06-09
1124,1223,9173,3,14463.15,2026-08-05
1125,921,9130,9,37783.26,2026-04-18
1126,571,9660,10,27287.8,2026-09-04
1127,802,9276,6,17642.58,2026-12-01
1128,743,9711,9,26205.48,2026-02-12
1129,1490,9960,5,16982.35,2026-04-07
1130,937,9222,6,956.52,2026-07-01
1131,1382,9135,6,4671.06,2026-07-05
1132,744,9493,4,10646.28,2026-06-11
1133,717,9588,9,18030.87,2026-08-22
1134,1195,9729,10,49313.1,2026-02-01
1135,1314,9725,2,2701.2,2026-02-02
1136,787,9012,2,6398.14,2026-07-28
1137,979,9914,6,10456.08,2026-07-14
1138,1381,9298,8,26177.44,2026-05-09
1139,969,9832,1,2943.61,2026-11-19
1140,1423,9621,9,41833.26,2026-10-09
1141,1239,9524,9,2563.47,2026-12-12
1142,1256,9338,8,39270.88,2026-02-10
1143,801,9160,7,33616.24,2026-07-20
1144,1217,9381,9,34801.47,2026-07-21
1145,512,9387,9,16129.26,2026-12-26
1146,1048,9216,10,28774.3,2026-12-18
1147,1431,9633,6,957.24,2026-04-20
1148,657,9539,6,9218.58,2026-10-28
1149,1400,9028,4,10561.32,2026-04-04
1150,625,9630,6,27429.9,2026-07-29
1151,920,9370,10,22366.8,2026-10-24
1152,890,9559,1,1881.45,2026-05-07
1153,1026,9124,10,4166.7,2026-08-07
1154,1495,9945,4,9279.24,2026-03-11
1155,977,9416,4,12748.84,2026-09-26
1156,1347,9459,6,19309.44,2026-12-04
1157,1430,9227,6,24873.6,2026-12-24
1158,610,9539,1,1678.37,2026-01-16
1159,741,9713,8,8075.28,2026-08-21
1160,674,9923,7,30136.4,2026-01-06
1161,881,9050,8,26256.0,2026-12-01
1162,1481,9887,7,14283.99,2026-01-17
1163,1209,9038,5,10518.2,2026-12-03
1164,779,9291,7,20956.6,2026-03-24
1165,1285,9565,4,1082.56,2026-04-12
1166,1203,9492,2,8913.08,2026-03-23
1167,526,9675,4,2801.48,2026-03-17
1168,1326,9562,1,3503.89,2026-03-08
1169,1017,9672,3,7177.8,2026-02-02
1170,686,9421,3,5785.95,2026-08-13
1171,1009,9749,8,36005.04,2026-11-03
1172,1105,9102,5,16045.85,2026-10-26
1173,1018,9315,8,28633.04,2026-12-31
1174,529,9320,8,15967.52,2026-11-26
1175,709,9204,8,22849.28,2026-11-11
1176,531,9621,7,17033.66,2026-03-19
1177,1147,9427,4,6923.04,2026-07-28
1178,1158,9743,10,20396.3,2026-05-01
1179,1100,9852,7,33034.54,2026-04-23
1180,1030,9016,5,7988.25,2026-07-01
1181,898,9936,4,17538.92,2026-09-07
1182,1326,9760,10,39162.2,2026-10-12
1183,890,9318,10,2218.7,2026-02-28
1184,705,9534,8,10447.04,2026-06-29
1185,794,9209,8,38340.64,2026-12-24
1186,1090,9527,7,13843.06,2026-10-25
1187,1176,9133,10,43512.7,2026-10-03
1188,1045,9418,10,49666.7,2026-06-28
1189,913,9528,6,3099.24,2026-04-30
1190,1401,9521,6,6787.02,2026-07-16
1191,1031,9898,2,1723.36,2026-11-18
1192,1187,9595,5,11858.65,2026-12-22
1193,621,9100,10,8498.0,2026-11-15
1194,1047,9389,3,4113.21,2026-07-02
1195,924,9105,8,35571.92,2026-02-18
1196,667,9224,9,2301.12,2026-02-24
1197,666,9987,4,9771.04,2026-08-19
1198,1232,9756,4,4187.24,2026-09-07
1199,1400,9648,6,20066.58,2026-02-02
1200,1228,9641,6,24855.24,2026-07-19
1201,1342,9894,3,9587.1,2026-10-24
1202,533,9322,2,8581.22,2026-03-10
1203,1343,9914,8,16392.08,2026-05-09
1204,890,9187,9,8498.25,2026-10-22
1205,1122,9224,8,27937.36,2026-02-21
1206,558,9799,6,18061.32,2026-02-24
1207,1443,9319,4,8119.4,2026-05-24
1208,1357,9434,8,13408.32,2026-06-07
1209,510,9364,10,41416.6,2026-12-19
1210,1466,9075,6,11291.28,2026-09-21
1211,1411,9945,3,3989.16,2026-08-26
1212,1098,9355,4,4310.72,2026-01-07
1213,975,9544,3,3764.25,2026-07-19
1214,768,9710,1,1601.07,2026-06-12
1215,1326,9675,8,23718.96,2026-03-21
1216,759,9048,1,1204.23,2026-06-06
1217,978,9520,5,11833.85,2026-05-27
1218,663,9538,8,31631.12,2026-01-25
1219,730,9375,4,18258.96,2026-11-01
1220,745,9661,2,9600.16,2026-09-21
1221,982,9236,4,16147.4,2026-04-06
1222,1349,9965,2,1436.92,2026-07-11
1223,540,9642,9,4734.18,2026-06-15
1224,799,9665,5,19983.8,2026-09-15
1225,844,9262,8,2599.6,2026-02-22
1226,1440,9185,1,3826.45,2026-08-13
1227,533,9656,1,1872.33,2026-02-19
1228,578,9814,10,3134.7,2026-09-10
1229,1085,9192,2,1711.26,2026-02-23
1230,837,9201,4,7186.88,2026-06-13
1231,983,9411,4,16798.36,2026-08-22
1232,786,9123,7,4907.14,2026-06-29
1233,1432,9961,5,16749.05,2026-06-23
1234,527,9913,3,10098.15,2026-11-08
1235,864,9595,10,34366.5,2026-11-18
1236,708,9575,1,2400.55,2026-07-13
1237,950,9997,9,8332.65,2026-02-25
1238,825,9740,2,6524.46,2026-07-30
1239,1351,9003,10,4915.8,2026-06-16
1240,1236,9117,10,5860.0,2026-08-18
1241,1097,9148,10,5541.2,2026-11-21
1242,888,9770,9,4764.06,2026-11-16
1243,822,9899,9,7560.0,2026-08-05
1244,689,9952,10,37091.0,2026-03-15
1245,1064,9645,1,3420.88,2026-02-02
1246,1323,9204,9,19862.64,2026-05-15
1247,805,9235,9,24598.08,2026-10-15
1248,1022,9360,6,26196.9,2026-11-07
1249,1194,9789,8,31088.64,2026-12-30
1250,698,9764,2,98.34,2026-12-08
1251,927,9355,5,4191.95,2026-05-03
1252,639,9870,7,22164.66,2026-01-10
1253,762,9377,7,19012.0,2026-10-29
1254,1215,9278,7,31854.62,2026-12-15
1255,1142,9330,2,2165.86,2026-05-22
1256,774,9753,1,4205.93,2026-10-14
1257,1270,9777,2,8654.36,2026-06-03
1258,1194,9650,7,22441.09,2026-02-13
1259,1094,9982,6,6494.1,2026-11-12
1260,1054,9004,4,17643.92,2026-07-25
1261,774,9664,7,24851.61,2026-03-14
1262,785,9760,3,14855.31,2026-11-06
1263,586,9696,5,10026.1,2026-10-08
1264,530,9168,6,18628.08,2026-08-01
1265,699,9942,10,3346.9,2026-11-15
1266,1083,9680,3,12381.45,2026-12-17
1267,1100,9371,3,13659.48,2026-07-09
1268,1251,9273,6,22122.66,2026-07-13
1269,1110,9654,3,6226.71,2026-10-14
1270,1459,9691,7,32738.16,2026-12-03
1271,1428,9446,3,3024.15,2026-06-07
1272,1043,9618,8,8074.24,2026-03-31
1273,588,9055,7,15516.48,2026-11-13
1274,673,9461,10,19575.6,2026-07-18
1275,790,9188,8,14129.2,2026-07-02
1276,532,9458,9,26120.79,2026-07-23
1277,1239,9868,5,10482.95,2026-03-26
1278,1331,9184,3,6153.45,2026-12-17
1279,563,9924,6,4093.92,2026-02-06
1280,1111,9338,7,27511.26,2026-02-07
1281,892,9640,5,6288.7,2026-03-15
1282,1106,9229,7,21651.49,2026-11-26
1283,1495,9142,2,769.82,2026-12-11
1284,1427,9167,1,1542.27,2026-10-02
1285,530,9401,8,19111.6,2026-08-08
1286,965,9825,2,9337.32,2026-06-15
1287,791,9675,2,5626.46,2026-05-04
1288,803,9901,9,18571.77,2026-12-29
1289,693,9230,1,1260.87,2026-08-04
1290,1024,9099,4,2249.8,2026-01-30
1291,580,9545,1,4347.0,2026-04-21
1292,565,9822,1,1710.23,2026-03-03
1293,1324,9768,10,1014.1,2026-01-24
1294,1333,9488,5,18934.65,2026-11-18
1295,551,9912,8,1133.28,2026-03-23
1296,870,9442,8,1985.6,2026-03-02
1297,513,9938,1,2555.77,2026-03-09
1298,884,9637,1,2260.54,2026-12-16
1299,619,9484,5,9126.0,2026-01-18
1300,1293,9318,8,20031.04,2026-01-29
1301,943,9078,8,7111.76,2026-04-17
1302,1067,9055,8,22925.76,2026-05-26
1303,1130,9096,2,3465.88,2026-07-02
1304,1167,9571,9,6760.08,2026-02-06
1305,966,9965,5,3110.8,2026-08-01
1306,877,9227,2,4421.1,2026-06-12
1307,681,9752,9,10198.8,2026-06-12
1308,754,9377,7,15538.67,2026-10-21
1309,1416,9336,9,27163.44,2026-04-05
1310,573,9266,1,1075.93,2026-03-20
1311,630,9234,2,2227.74,2026-03-22
1312,860,9969,8,8791.76,2026-11-10
1313,1072,9763,3,4896.03,2026-07-07
1314,668,9292,7,28680.68,2026-12-27
1315,814,9534,2,7151.82,2026-03-22
1316,905,9617,5,1972.85,2026-04-24
1317,1321,9165,8,16923.68,2026-10-03
1318,948,9825,5,16257.75,2026-08-16
1319,913,9469,2,4863.3,2026-03-02
1320,703,9275,6,27808.68,2026-05-04
1321,898,9963,1,948.71,2026-09-27
1322,769,9141,10,44290.7,2026-08-05
1323,667,9454,5,20206.15,2026-04-07
1324,1288,9334,4,1175.64,2026-06-12
1325,1001,9490,8,21479.6,2026-07-27
1326,1046,9859,2,5574.24,2026-01-11
