produto_id,nome,categoria,preco
9001,Headset,Informatica,402.78
9002,Jaqueta,Vestuario,965.81
9003,Camera,Eletronicos,5117.29
9004,Colchao,Moveis,796.46
9005,Jaqueta,Vestuario,536.5
9006,Cama,Moveis,1556.26
9007,Liquidificador,Cozinha,235.93
9008,Jaqueta,Vestuario,881.42
9009,Liquidificador,Cozinha,279.27
9010,Guarda Roupa,Moveis,4974.35
9011,Fone de Ouvido,Eletronicos,1466.74
9012,Air Fryer,Eletrodomesticos,565.96
9013,Jogo de Pratos,Cozinha,572.49
9014,Fogao,Eletrodomesticos,2443.28
9015,Panela,Cozinha,212.64
9016,Aspirador de Po,Eletrodomesticos,1415.02
9017,Fone de Ouvido,Eletronicos,1394.15
9018,Oculos de Sol,Acessorios,303.87
9019,Calca Jeans,Vestuario,317.46
9020,Air Fryer,Eletrodomesticos,1027.6
9021,Carteira,Acessorios,183.25
9022,Aspirador de Po,Eletrodomesticos,1751.96
9023,Guarda Roupa,Moveis,2776.47
9024,Mesa,Moveis,1421.56
9025,Relogio,Acessorios,2770.17
9026,Smartwatch,Eletronicos,702.22
9027,Geladeira,Eletrodomesticos,4967.03
9028,Caneta,Papelaria,15.93
9029,Armario,Moveis,3460.78
9030,Monitor,Informatica,2080.87
9031,Impressora,Informatica,1026.19
9032,Liquidificador,Eletrodomesticos,310.78
9033,Colchao,Moveis,1636.8
9034,Liquidificador,Cozinha,627.28
9035,Smartphone,Eletronicos,3170.01
9036,Panela,Cozinha,582.21
9037,Camisa,Vestuario,245.29
9038,Panela,Cozinha,282.02
9039,Caneta,Papelaria,9.35
9040,Tablet,Eletronicos,905.5
9041,Calca Jeans,Vestuario,205.06
9042,Fogao,Eletrodomesticos,3867.8
9043,Tenis,Vestuario,317.26
9044,Mochila Escolar,Papelaria,378.32
9045,Jogo de Pratos,Cozinha,421.5
9046,Caixa de Som,Eletronicos,1443.25
9047,Air Fryer,Eletrodomesticos,1158.45
9048,Caderno,Papelaria,53.16
9049,Camisa,Vestuario,76.61
9050,Tablet,Eletronicos,3866.31
9051,Calca Jeans,Vestuario,210.09
9052,Caderno,Papelaria,90.13
9053,Monitor,Informatica,594.4
9054,Mochila,Acessorios,275.32
9055,Webcam,Informatica,775.32
9056,Fone de Ouvido,Eletronicos,711.76
9057,Estante,Moveis,360.45
9058,Oculos de Sol,Acessorios,413.16
9059,Caixa de Som,Eletronicos,1857.69
9060,Tenis,Vestuario,469.43
9061,Air Fryer,Eletrodomesticos,1032.47
9062,Armario,Moveis,1029.34
9063,Cadeira,Moveis,514.69
9064,Geladeira,Eletrodomesticos,7895.79
9065,Headset,Informatica,380.97
9066,Liquidificador,Cozinha,515.06
9067,Fone de Ouvido,Eletronicos,1437.91
9068,Mochila,Acessorios,338.82
9069,Camera,Eletronicos,2148.93
9070,Aspirador de Po,Eletrodomesticos,1156.17
9071,Cadeira,Moveis,1085.05
9072,Cafeteira,Cozinha,900.98
9073,Aspirador de Po,Eletrodomesticos,881.75
9074,Camisa,Vestuario,139.18
9075,Vestido,Vestuario,418.76
9076,Smartphone,Eletronicos,4746.72
9077,Mochila Escolar,Papelaria,156.34
9078,Armario,Moveis,2913.4
9079,Livro,Livros,174.08
9080,Fone de Ouvido,Eletronicos,126.84
9081,Caixa de Som,Eletronicos,691.02
9082,Teclado,Informatica,362.73
9083,Guarda Roupa,Moveis,4081.37
9084,Calca Jeans,Vestuario,192.55
9085,Caixa de Som,Eletronicos,1083.46
9086,Caixa de Som,Eletronicos,1080.1
9087,Smartwatch,Eletronicos,381.24
9088,Mesa,Moveis,1502.84
9089,Tablet,Eletronicos,3953.09
9090,Calca Jeans,Vestuario,323.29
9091,Microondas,Eletrodomesticos,2037.07
9092,Televisao,Eletronicos,5390.2
9093,Tablet,Eletronicos,1862.6
9094,Caixa de Som,Eletronicos,1027.85
9095,Monitor,Informatica,3119.86
9096,Monitor,Informatica,522.42
9097,Caixa de Som,Eletronicos,1850.08
9098,Mesa,Moveis,999.67
9099,Carteira,Acessorios,88.82
9100,Smartwatch,Eletronicos,1066.24
9101,Fone de Ouvido,Eletronicos,148.34
9102,Microondas,Eletrodomesticos,665.15
9103,Tenis,Vestuario,1184.29
9104,Caderno,Papelaria,98.15
9105,Colchao,Moveis,1744.86
9106,Tenis,Vestuario,654.38
9107,Monitor,Informatica,1647.41
9108,Sofa,Moveis,4101.95
9109,Mochila Escolar,Papelaria,145.5
9110,Fone de Ouvido,Eletronicos,969.18
9111,Colchao,Moveis,3984.23
9112,Monitor,Informatica,681.99
9113,Tablet,Eletronicos,670.45
9114,Colchao,Moveis,3856.46
9115,Jaqueta,Vestuario,610.21
9116,Camisa,Vestuario,61.07
9117,Estante,Moveis,2301.45
9118,Cama,Moveis,1058.02
9119,Aspirador de Po,Eletrodomesticos,604.47
9120,Sofa,Moveis,4123.92
9121,Jaqueta,Vestuario,644.29
9122,Calca Jeans,Vestuario,431.92
9123,Calca Jeans,Vestuario,382.07
9124,Fogao,Eletrodomesticos,3701.01
9125,Relogio,Acessorios,1300.91
9126,Fogao,Eletrodomesticos,905.08
9127,Mesa,Moveis,1995.3
9128,Colchao,Moveis,2111.3
9129,Guarda Roupa,Moveis,1658.06
9130,Fone de Ouvido,Eletronicos,1013.97
9131,Vestido,Vestuario,708.74
9132,Livro,Livros,124.53
9133,Tenis,Vestuario,814.51
9134,Camera,Eletronicos,2063.85
9135,Impressora,Informatica,2441.51
9136,Impressora,Informatica,2445.11
9137,Panela,Cozinha,738.83
9138,Cafeteira,Cozinha,1250.11
9139,Jogo de Pratos,Cozinha,206.03
9140,Aspirador de Po,Eletrodomesticos,1308.41
9141,Liquidificador,Eletrodomesticos,228.28
9142,Webcam,Informatica,438.37
9143,Headset,Informatica,176.32
9144,Estante,Moveis,309.87
9145,Aspirador de Po,Eletrodomesticos,222.38
9146,Sofa,Moveis,3846.03
9147,Caixa de Som,Eletronicos,1309.1
9148,Mochila Escolar,Papelaria,59.55
9149,Guarda Roupa,Moveis,830.83
9150,Headset,Informatica,154.95
9151,Guarda Roupa,Moveis,3320.61
9152,Colchao,Moveis,956.69
9153,Cafeteira,Cozinha,231.13
9154,Guarda Roupa,Moveis,2637.09
9155,Webcam,Informatica,663.46
9156,Camisa,Vestuario,158.06
9157,Colchao,Moveis,3942.02
9158,Jogo de Pratos,Cozinha,130.65
9159,Geladeira,Eletrodomesticos,6133.89
9160,Jaqueta,Vestuario,184.27
9161,Jaqueta,Vestuario,814.92
9162,Liquidificador,Eletrodomesticos,469.13
9163,Televisao,Eletronicos,4020.68
9164,Caixa de Som,Eletronicos,1738.2
9165,Microondas,Eletrodomesticos,445.33
9166,Jogo de Pratos,Cozinha,111.73
9167,Microondas,Eletrodomesticos,2073.77
9168,Liquidificador,Eletrodomesticos,657.82
9169,Mouse,Informatica,151.3
9170,Panela,Cozinha,560.23
9171,Calca Jeans,Vestuario,164.78
9172,Air Fryer,Eletrodomesticos,1015.49
9173,Notebook,Informatica,4883.94
9174,Relogio,Acessorios,1590.43
9175,Smartwatch,Eletronicos,1896.3
9176,Camera,Eletronicos,3519.4
9177,Notebook,Informatica,4910.99
9178,Cadeira,Moveis,1453.8
9179,Camera,Eletronicos,4752.84
9180,Mochila,Acessorios,576.5
9181,Mesa,Moveis,2525.64
9182,Mesa,Moveis,1985.26
9183,Panela,Cozinha,737.98
9184,Jaqueta,Vestuario,291.23
9185,Cafeteira,Cozinha,1417.39
9186,Smartwatch,Eletronicos,928.71
9187,Cadeira,Moveis,624.2
9188,Oculos de Sol,Acessorios,634.71
9189,Microondas,Eletrodomesticos,1370.44
9190,Caderno,Papelaria,59.91
9191,Mesa,Moveis,1996.78
9192,Notebook,Informatica,6449.33
9193,Cama,Moveis,1084.18
9194,Mochila Escolar,Papelaria,377.0
9195,Liquidificador,Cozinha,271.84
9196,Fone de Ouvido,Eletronicos,505.27
9197,Microondas,Eletrodomesticos,2285.0
9198,Microondas,Eletrodomesticos,1952.04
9199,Fogao,Eletrodomesticos,1800.38
9200,Caneta,Papelaria,17.13
9201,Cama,Moveis,3274.42
9202,Smartphone,Eletronicos,4783.0
9203,Liquidificador,Eletrodomesticos,101.23
9204,Mouse,Informatica,57.22
9205,Fogao,Eletrodomesticos,3396.7
9206,Cadeira,Moveis,702.14
9207,Monitor,Informatica,2456.47
9208,Tablet,Eletronicos,2430.17
9209,Mesa,Moveis,1684.7
9210,Teclado,Informatica,164.87
9211,Caderno,Papelaria,73.39
9212,Impressora,Informatica,2203.69
9213,Mochila Escolar,Papelaria,154.37
9214,Caixa de Som,Eletronicos,927.59
9215,Mochila Escolar,Papelaria,378.9
9216,Jogo de Pratos,Cozinha,305.57
9217,Sofa,Moveis,4623.02
9218,Mochila,Acessorios,188.65
9219,Fone de Ouvido,Eletronicos,1061.16
9220,Mesa,Moveis,1137.75
9221,Camera,Eletronicos,4873.25
9222,Aspirador de Po,Eletrodomesticos,1507.52
9223,Mouse,Informatica,162.66
9224,Fogao,Eletrodomesticos,3009.34
9225,Armario,Moveis,3424.98
9226,Cadeira,Moveis,782.34
9227,Smartwatch,Eletronicos,1786.46
9228,Fone de Ouvido,Eletronicos,664.22
9229,Caneta,Papelaria,22.66
9230,Aspirador de Po,Eletrodomesticos,598.81
9231,Tablet,Eletronicos,3458.02
9232,Camera,Eletronicos,1575.58
9233,Oculos de Sol,Acessorios,406.39
9234,Mouse,Informatica,93.32
9235,Webcam,Informatica,330.26
9236,Oculos de Sol,Acessorios,509.46
9237,Headset,Informatica,104.33
9238,Teclado,Informatica,132.09
9239,Televisao,Eletronicos,5870.4
9240,Webcam,Informatica,500.39
9241,Notebook,Informatica,5405.95
9242,Armario,Moveis,864.25
9243,Cadeira,Moveis,295.39
9244,Fogao,Eletrodomesticos,3739.82
9245,Sofa,Moveis,5861.56
9246,Caderno,Papelaria,44.45
9247,Cama,Moveis,805.05
9248,Camisa,Vestuario,90.97
9249,Tenis,Vestuario,402.06
9250,Cama,Moveis,2423.58
9251,Mesa,Moveis,1826.65
9252,Monitor,Informatica,3402.05
9253,Fone de Ouvido,Eletronicos,293.43
9254,Notebook,Informatica,3436.95
9255,Televisao,Eletronicos,2428.02
9256,Cafeteira,Cozinha,594.86
9257,Tablet,Eletronicos,3788.52
9258,Mochila,Acessorios,279.33
9259,Mochila Escolar,Papelaria,109.59
9260,Microondas,Eletrodomesticos,1246.37
9261,Livro,Livros,178.14
9262,Colchao,Moveis,3829.83
9263,Caderno,Papelaria,76.44
9264,Headset,Informatica,264.08
9265,Caixa de Som,Eletronicos,1491.03
9266,Fone de Ouvido,Eletronicos,355.41
9267,Televisao,Eletronicos,9413.86
9268,Armario,Moveis,1051.89
9269,Smartwatch,Eletronicos,354.2
9270,Fogao,Eletrodomesticos,2659.11
9271,Cafeteira,Cozinha,1032.92
9272,Mesa,Moveis,2476.92
9273,Fogao,Eletrodomesticos,3287.74
9274,Jogo de Pratos,Cozinha,265.33
9275,Vestido,Vestuario,166.09
9276,Camera,Eletronicos,935.27
9277,Monitor,Informatica,3194.89
9278,Carteira,Acessorios,265.53
9279,Smartphone,Eletronicos,1416.55
9280,Notebook,Informatica,2535.54
9281,Liquidificador,Eletrodomesticos,447.17
9282,Mesa,Moveis,1612.01
9283,Geladeira,Eletrodomesticos,3217.95
9284,Caixa de Som,Eletronicos,426.54
9285,Calca Jeans,Vestuario,339.14
9286,Fone de Ouvido,Eletronicos,957.13
9287,Relogio,Acessorios,1144.35
9288,Vestido,Vestuario,723.26
9289,Smartwatch,Eletronicos,707.56
9290,Jaqueta,Vestuario,951.33
9291,Microondas,Eletrodomesticos,1087.38
9292,Geladeira,Eletrodomesticos,2582.55
9293,Panela,Cozinha,711.25
9294,Mesa,Moveis,472.88
9295,Liquidificador,Cozinha,450.77
9296,Aspirador de Po,Eletrodomesticos,665.84
9297,Estante,Moveis,463.08
9298,Vestido,Vestuario,641.43
9299,Liquidificador,Cozinha,411.83
9300,Carteira,Acessorios,286.67
9301,Liquidificador,Cozinha,546.89
9302,Impressora,Informatica,1246.28
9303,Guarda Roupa,Moveis,4647.73
9304,Smartwatch,Eletronicos,609.96
9305,Sofa,Moveis,4190.2
9306,Microondas,Eletrodomesticos,496.15
9307,Colchao,Moveis,1803.63
9308,Impressora,Informatica,1039.2
9309,Calca Jeans,Vestuario,305.82
9310,Camisa,Vestuario,88.2
9311,Aspirador de Po,Eletrodomesticos,1715.87
9312,Camisa,Vestuario,297.44
9313,Fone de Ouvido,Eletronicos,925.97
9314,Webcam,Informatica,111.71
9315,Mesa,Moveis,1254.35
9316,Mesa,Moveis,1438.58
9317,Colchao,Moveis,2105.43
9318,Estante,Moveis,2354.71
9319,Liquidificador,Cozinha,475.31
9320,Aspirador de Po,Eletrodomesticos,499.12
9321,Liquidificador,Eletrodomesticos,674.95
9322,Televisao,Eletronicos,9021.54
9323,Cafeteira,Cozinha,688.61
9324,Televisao,Eletronicos,3701.3
